Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrentMonth,SumOfBudget
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5555 - Deduction Control AC,SAR,32804.22831,32804.22831
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5575 - Shahzeb  Afridi,SAR,49.55116697,54.50628366
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5608 - Arif Mallik,SAR,4224.416517,38019.74865
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5609 - Rehan Baig,SAR,324.7082585,732.6795332
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5706 - Mohamad Nathar Gowda,SAR,12836.62478,12836.62478
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5726 - Ahmed Bilal,SAR,2362.208259,2598.429084
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5729 - Asia Sharif,SAR,25.9497307,233.5475763
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5730 - Rami  Al Yusuf,SAR,6.104129264,6.71454219
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5757 - Rakan Alharbi,SAR,232.7049671,2094.344704
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5785 - Mutlaq Alenzy,SAR,154.1122083,169.5234291
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5849 - Hatem Alwabel,SAR,40026.92998,360242.3698
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5879 - Anirban  Kundu,SAR,170.1077199,170.1077199
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5914 - Abdulrahman Ahmed Algannas,SAR,156.679234,172.3471574
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/6014 - Reem Alzwaidi,SAR,95.46678636,859.2010772
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/6106 - Abhijay Awasthi,SAR,77.42369838,85.16606822
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/6306 - Mohammed AlHasan,SAR,9.634051466,86.7064632
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/6407 - Bader AlTamimi,SAR,633.572711,696.929982
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/6426 - Haroon Siyech,SAR,26.03859964,26.03859964
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/9999 - General -Other Staff,SAR,1316.5769,1316.5769
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0000 - Chairman-Mohammed Abu Nayyan,SAR,75986.6921,89236.61879
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0006 - Shariq Mubin Ur Rahman Rahman,SAR,0,78176.54698
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0007 - Abbas Noureldiem Abdullah,SAR,0,57338.89886
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0008 - Yasir Mahmoud,SAR,0,45798.36625
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0011 - Nizar Abdulsamad Ahmed Alrushaid,SAR,1241.360862,10904.32675
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0012 - Ahmad Waraich,SAR,0,62648.1149
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0027 - Fahad Al Shammari,SAR,0,34036.4991
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0036 - Mansour Abutalib,SAR,0,65276.23279
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0045 - Muhammad Aijaz Umer,SAR,0,27125.22741
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0069 - Murtada Alsafi,SAR,374.1400359,48050.38001
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0079 - Samir Abdulaziz Dowairij Al Dowairij,SAR,0,17068.75823
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0126 - Youssef Hassan,SAR,0,14333.87193
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0129 - Zeeshan Hyder Maqbool Ahmed Qureshi Ali Ahmed Zahid Hyder,SAR,0,4065.43088
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0138 - Abid Hussain Malik,SAR,0,87817.63914
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0254 - Badis Derradji -M ORZAZAT,SAR,103.2315978,929.0843806
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0277 - Nadeem Rizvi R -HEPCO,SAR,123.8779174,136.2657092
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0307 - Thamer Saud Alsharhan,SAR,28689.52298,28689.52298
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0367 - Alberto Garcia,SAR,3341.665171,30074.98654
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0522 - Mir Dawar Ali,SAR,22277.20557,22277.20557
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0581 - Faisal Turki N Bin Humaid,SAR,61.93895871,68.13285458
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0655 - Issam Amara,SAR,70.23339318,632.1005386
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/0724 - Abdullah Saeed Al Ghamdi,SAR,9825.666068,9825.666068
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/9000 - Credit Card and Travel ticket balance,SAR,335120.6835,3016086.151
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Credit Card Payments,12203/9999 - Genenal -Other Staff,SAR,156077.2603,1404695.343
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Employees,12202/0000 - Other,SAR,52387.61849,17303.52783
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Employees,12202/1006 - Other deduction recoverable,SAR,49424.59246,114637.4895
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Employees,12202/1011 - Employee personal loans recoverable,SAR,-1899820.687,16452.01975
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Employees,12202/1014 - Salary advance recoverable,SAR,21622.80969,123644.8414
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/0000 - Other,SAR,3694967.271,33254705.44
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1003 - Higher Institure for Water & Power Technology,SAR,61754.52005,67929.97205
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1025 - TIE JUN International (HK) Ltd.,SAR,403949.7307,403949.7307
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1037 - Chint Solar (Hong Kong),SAR,757405.7451,6816651.706
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1045 - AL TAWAKOL ELECTRICAL COMPANY-GILA (S.A.F),SAR,226458.5139,249104.3653
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1074 - HDEC MIDDLE EAST CO DMCC,SAR,117575022.4,117575022.4
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1085 - Larsen & Toubro International FZE,SAR,30036577.65,270329198.8
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1097 - AIR PRODUCTS Middle East Industrial Gases LLC,SAR,3279769.255,3607746.18
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Related parties - External,12212/1102 - Jakson Arabia Limited,SAR,774236.9838,774236.9838
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Cash and Bank,Current assets,Cash in hand (Petty cash float),12991/0000 - Other,SAR,3590.664273,3949.7307
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Cash in hand (Petty cash float),12991/2001 - Petty Cash - Administration -  Power - Riyadh,SAR,88839.94794,88839.94794
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Cash in hand (Petty cash float),12991/2007 - Petty Cash -Project Bright - Riyadh,SAR,1171.454219,10543.08797
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Cash in hand (Petty cash float),12991/3002 - Petty Cash - Riyadh- Corp. Legal,SAR,1166965.889,1283662.478
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - AED,12951/1041 - Current AC-API RIYADH-ADCB-AED-AC 11409168820001-Payment,SAR,366496.4381,403146.0819
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1011 - Current AC-API RIYADH-BSF-SAR-AC 787-168001-88-Payment,SAR,1357.978456,12221.8061
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1023 - Current AC-API RIYADH-RIYAD BANK -SAR-AC 2180808039940-Payment,SAR,49229.69031,54152.65934
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1032 - Current AC-API RIYADH-SABB-SAR-AC 011-290988-001-Payment,SAR,990802.4078,990802.4078
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1033 - Current AC-API RIYADH-SABB-SAR-AC 011-290988-002-Payroll,SAR,19858949.37,178730544.3
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1047 - Current Account SABB - RYD - SAR - 896034063001,SAR,22576.07271,24833.67998
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1060 - Bank -ANB -SAR - API Riyadh- 0108040454910013-Payment,SAR,209905.7361,209905.7361
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1072 - Current AC-API RIYADH-SAIB BANK -SAR-AC 0101-638838-001-Payment,SAR,592.8231598,5335.408438
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1099 - Current AC-API Riyadh-Bank Aljazira-SAR-AC 95012005001,SAR,255.6923998,281.2616397
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1129 - Current AC-API RIYADH-SABB-SAR-AC 011-290988-003-Payment,SAR,58677.17056,58677.17056
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1170 - Current AC-API-Riyadh - SC Bank -SAR-AC 1700006301,SAR,134.2136445,1207.922801
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1180 - Current AC - API_Riyadh - ABB -SAR -BH64ARAB02001002600511,SAR,1499.344255,1649.27868
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1182 - APIR-SNB-SAR-62500000212204-Current Account,SAR,658598.7074,5927388.366
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1222 - Current AC-API RIYADH-ALRajhi-SAR-AC 504608010089887-Payment,SAR,1099.281867,1209.210054
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1226 - Current AC-API-Riyadh-AlBilad-SAR-555115551050014,SAR,178.4694794,178.4694794
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1227 - Current AC-API RIYADH-ICBC-SAR-AC - 6007000100023549,SAR,32.9144225,296.2298025
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1228 - Current AC-API RIYADH-Saudi British Bank-SAR-AC- 011290988005,SAR,5.116696589,5.628366248
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1229 - Current AC-API RIYADH- Bank AlInma-SAR-AC- 68204461863000,SAR,970.1903052,970.1903052
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1269 - Current AC-API RIYADH-MUFG Bank -SAR-AC - 102113,SAR,1080.880012,9727.920108
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - SAR,12941/1270 - Current AC-API RIYADH-AL Bilad -SAR-AC - 555115551050049,SAR,71.81328546,78.994614
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1019 - Current AC-API RIYADH-GIB-USD-AC BAH-358333-USD-2610-01-Payment,SAR,15766.46176,17343.10794
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1043 - Current AC-API RIYADH-SABB-USD-AC 011-290988-080-Payment,SAR,57086.09066,513774.816
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1049 - Current AC-API Riyadh-SCB-USD-AC 01-2156035-01-Payment,SAR,53373.58169,58710.93986
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1051 - Current AC-API Riyadh-COMMERCIAL INT-USD-AC 100022826152-Payment,SAR,164096.1625,164096.1625
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1053 - Current AC-API Riyadh-SCB-USD-AC 01-2156035-02-Fees,SAR,117.2576302,1055.318671
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1054 - Current AC-API Riyadh-SCB-USD-AC 01-2156035-03-Deposit,SAR,148.2513465,163.0764811
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1056 - Current AC-API Riyadh-ENDB-USD-AC 0514762428301-Payment,SAR,58885.0395,58885.0395
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1124 - Current AC-API RIYADH-SAIB BANK -USD-AC 0101-638838-002-Payment,SAR,4522.089467,40698.80521
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1216 - Current AC-API Riyadh-Bank Aljazira USD-AC 084295012005002,SAR,1503.278276,1653.606104
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1274 - Current AC-API RIYADH-ADCB-USD-AC 11409168820002-Payment,SAR,36630.37971,36630.37971
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1407 - APIR-SNB-USD-62500000212008-Operational Account,SAR,9717.13465,87454.21185
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Cash and Bank,Current assets,Current accounts - USD,12946/1412 - Current AC-API_RIYADH-Arab National Bank-USD-6708040454910019,SAR,875366104.8,962902715.3
