Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrent Month,SumOfBudget,BudgetVariance,BudgetVariancePercentage,SumOfPrevious Month,VarianceFromPreviousMonth,VarianceFromPreviousMonthPercentage
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1018 - Staff IPO Grant Liability,SAR,-33360948.69,-33360948.69,0,0.00 %,-427704.4704,-32933244.22,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Advances received from customers,22251/0000 - Other,SAR,-2353344.013,-2353344.013,0,0.00 %,-2614826.682,261482.669,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Credit Card claim suspense A/C,22295/0000 - Other,SAR,1348092.768,1542392.604,-194299.836,-12.60 %,787075.6852,561017.0828,71.28 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Dividend payable - General,22211/0000 - Other,SAR,0.003291442,0.02962298,-0.026331538,-88.89 %,0.00299222,0.000299222,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Expense clearing account,22294/0000 - Other,SAR,0.184021544,1.656193896,-1.472172352,-88.89 %,0.122681029,0.061340515,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Flexi benefit accrual,22234/0000 - Other,SAR,-2553221.907,-2553221.907,0,0.00 %,-2934737.825,381515.918,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Flexi benefit payments,22235/0000 - Other,SAR,9183431.006,11585854.84,-2402423.834,-20.74 %,2149226.67,7034204.336,327.29 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Other taxes payable,22242/1002 - WHT Clearing Account,SAR,49005.32316,53905.85548,-4900.53232,-9.09 %,32670.21544,16335.10772,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Other taxes payable,22242/2001 - WHT payable,SAR,-125225.6867,-125225.6867,0,0.00 %,-83483.79114,-41741.89556,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Payroll clearing account,22291/0000 - Other,SAR,-52511419.66,-443068623.7,390557204,-88.15 %,1522201.99,-54033621.65,-3549.70 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Provision – Others,22244/0000 - Other,SAR,-15527954.87,-139751593.8,124223638.9,-88.89 %,-14116322.61,-1411632.26,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Provision – Others,22244/1001 - CSR Provision - Non sharia compliant interest,SAR,-166298.1005,-182927.9106,16629.8101,-9.09 %,-138581.7504,-27716.3501,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Clearing account,22192/0000 - Other,SAR,3422.539497,3422.539497,0,0.00 %,3802.821664,-380.282167,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Employees,22102/0000 - Other,SAR,-616.0954518,-5544.859066,4928.763614,-88.89 %,-560.0867744,-56.0086774,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - External,22112/0000 - Other,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Trade,22101/0000 - Other,SAR,-6177294.731,-6177294.731,0,0.00 %,-4118196.487,-2059098.244,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,1013.982136,9125.839228,-8111.857092,-88.89 %,1165.496709,-151.514573,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,AR Control account (NC) - Shareholder Loan - ,11611/1002 - LNTP,SAR,0,22161.13106,-22161.13106,-100.00 %,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,Prepaid expenses (NC) - Others,11652/1002 - Prepaid (NC) - Rental,SAR,0,51909.67684,-51909.67684,-100.00 %,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,Prepaid expenses (NC) - Others,11652/1006 - Prepaid (NC) - License Fee,SAR,0,20763.51885,-20763.51885,-100.00 %,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0000 - Chairman-Mohammed Abu Nayyan,SAR,-2032185.339,-15203229.14,13171043.8,-86.63 %,-313655.9007,-1718529.438,547.90 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0006 - Shariq Mubin Ur Rahman Rahman,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0007 - Abbas Noureldiem Abdullah,SAR,3013.105925,3013.105925,0,0.00 %,38.62956314,2974.476362,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0012 - Ahmad Waraich,SAR,-2493.608618,-22442.47756,19948.86894,-88.89 %,-1662.405745,-831.202873,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0014 - Fahad Al Sallum,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0019 - Pradeep Mullapally,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0027 - Fahad Al Shammari,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0036 - Mansour Abutalib,SAR,18.49192101,20.34111311,-1.8491921,-9.09 %,15.40993417,3.08198684,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0065 - Mohamed Abdulraziq Ahmed,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0069 - Murtada Alsafi,SAR,-76.18043088,-685.6238779,609.443447,-88.89 %,-69.25493716,-6.92549372,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0079 - Samir Abdulaziz Dowairij Al Dowairij,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0109 - Altaf  Mohammed,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0129 - Zeeshan Hyder Maqbool Ahmed Qureshi,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0139 - Zameel Kasim,SAR,7935.368043,8728.904847,-793.536804,-9.09 %,101.7354877,7833.632555,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0188 - Usman Anwar,SAR,8.837522442,8.837522442,0,0.00 %,8.034111311,0.803411131,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0269 - Adel Yehia Khalifa Mohamed,SAR,685.8168761,6172.351885,-5486.535009,-88.89 %,571.5140634,114.3028127,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0307 - Thamer Saud Alsharhan,SAR,2530.341113,2783.375224,-253.034111,-9.09 %,2811.490126,-281.149013,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0370 - Sawan Kumar,SAR,-5055.668402,-5055.668402,0,0.00 %,-5811.113106,755.444704,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0376 - Ayad Al Amri,SAR,-13140.03591,-118260.3232,105120.2873,-88.89 %,-168.4619988,-12971.57391,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0377 - Edwin Nunez,SAR,-4172.298025,-4589.527828,417.229803,-9.09 %,-2781.532017,-1390.766008,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0401 - Ali Al Mukhtar,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0475 - Hager Al Twegieri,SAR,30.80789946,33.88868941,-3.08078995,-9.09 %,28.00718133,2.80071813,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0522 - Mir Dawar Ali -Riyadh,SAR,80.45960503,80.45960503,0,0.00 %,67.04967086,13.40993417,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0528 - Fouzi Mubarak Al Saidi,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0581 - Faisal Turki Bin Humaid,SAR,4.451526032,4.896678636,-0.445152604,-9.09 %,5.116696589,-0.665170557,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0711 - Sara Abdulsalam Bin Dekhail,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0747 - Shakeel Anwar,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0762 - Abdulaziz Al Baadi,SAR,144.2055655,158.6261221,-14.4205566,-9.09 %,96.13704369,48.06852181,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0774 - Richard Cruz,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0778 - Mashhour Al Saadi,SAR,199.4614004,1795.152603,-1595.691203,-88.89 %,181.3285458,18.1328546,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0784 - Hussam AL-Hussami,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0809 - Rayan Mohammed Abdulghani,SAR,-134.6499102,-134.6499102,0,0.00 %,-149.6110114,14.9611012,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0924 - Faizan Javed,SAR,-32.9144225,-296.2298025,263.31538,-88.89 %,-29.92220227,-2.99222023,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1032 - Muhammad Naeem,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1037 - Dimuth Lakmal Wickrama Arachchige,SAR,23.27019749,23.27019749,0,0.00 %,25.85577499,-2.5855775,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1039 - Aitzaz Saeed,SAR,1140.475763,10264.28187,-9123.806107,-88.89 %,1310.891682,-170.415919,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1041 - Talal AlTayar,SAR,-88689.40754,-97558.34829,8868.94075,-9.09 %,-1137.043686,-87552.36385,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1141 - Sarah Al Harthey,SAR,3658.056254,3658.056254,0,0.00 %,3325.505685,332.550569,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1183 - Abdelal Abueljedyan,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1245 - Faisal Alghariry,SAR,283.3034111,311.6337522,-28.3303411,-9.09 %,314.7815679,-31.4781568,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1256 - Vinod Vijay,SAR,-287.4982944,-287.4982944,0,0.00 %,-330.4578097,42.9595153,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1324 - Saeed Bosaeed,SAR,9662.477558,86962.29803,-77299.82047,-88.89 %,123.8779174,9538.599641,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1346 - Mohsen Alsalmi,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1364 - Moath Al Shonaify,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1376 - Zahid Hussain,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1391 - Tariq Basakran,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1415 - Nouf Alelweet,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5001 - Ahmad Ettwadi,SAR,2162.91921,19466.27289,-17303.35368,-88.89 %,2403.243567,-240.324357,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5271 - Sami Alharbi,SAR,396.2118492,435.8330341,-39.6211849,-9.09 %,455.4159186,-59.2040694,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5314 - Bandar Alameer,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5346 - Rashed Alsadran,SAR,1181.777379,10635.99641,-9454.219031,-88.89 %,787.8515859,393.9257931,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5355 - Amal Alamri,SAR,9666.539497,10633.19345,-966.653953,-9.09 %,6444.359665,3222.179832,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5358 - Suhaib Alghamdi,SAR,1817.82316,1817.82316,0,0.00 %,1211.882107,605.941053,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5373 - Thomas Boehringer,SAR,64326.05476,578934.4928,-514608.438,-88.89 %,58478.2316,5847.82316,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5386 - Dibu Maimbilly Krishnan,SAR,193.1777379,212.4955117,-19.3177738,-9.09 %,160.9814482,32.1962897,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5391 - Mushaal  AlJulaifi,SAR,-92.90843806,-92.90843806,0,0.00 %,-103.2315978,10.32315974,-10.00 %
