Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrent Month
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0188 - Usman Anwar,SAR,8.837522442
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0269 - Adel Yehia Khalifa Mohamed,SAR,685.8168761
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0307 - Thamer Saud Alsharhan,SAR,2530.341113
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0370 - Sawan Kumar,SAR,-5055.668402
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0376 - Ayad Al Amri,SAR,-13140.03591
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0377 - Edwin Nunez,SAR,-4172.298025
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0401 - Ali Al Mukhtar,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0475 - Hager Al Twegieri,SAR,30.80789946
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0522 - Mir Dawar Ali -Riyadh,SAR,80.45960503
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0528 - Fouzi Mubarak Al Saidi,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0581 - Faisal Turki Bin Humaid,SAR,4.451526032
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0711 - Sara Abdulsalam Bin Dekhail,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0747 - Shakeel Anwar,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0762 - Abdulaziz Al Baadi,SAR,144.2055655
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0774 - Richard Cruz,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0778 - Mashhour Al Saadi,SAR,199.4614004
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0784 - Hussam AL-Hussami,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0809 - Rayan Mohammed Abdulghani,SAR,-134.6499102
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0924 - Faizan Javed,SAR,-32.9144225
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1032 - Muhammad Naeem,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1037 - Dimuth Lakmal Wickrama Arachchige,SAR,23.27019749
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1039 - Aitzaz Saeed,SAR,1140.475763
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1041 - Talal AlTayar,SAR,-88689.40754
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1141 - Sarah Al Harthey,SAR,3658.056254
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1183 - Abdelal Abueljedyan,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1245 - Faisal Alghariry,SAR,283.3034111
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1256 - Vinod Vijay,SAR,-287.4982944
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1324 - Saeed Bosaeed,SAR,9662.477558
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1346 - Mohsen Alsalmi,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1364 - Moath Al Shonaify,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1376 - Zahid Hussain,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1391 - Tariq Basakran,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1415 - Nouf Alelweet,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5001 - Ahmad Ettwadi,SAR,2162.91921
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5271 - Sami Alharbi,SAR,396.2118492
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5314 - Bandar Alameer,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5346 - Rashed Alsadran,SAR,1181.777379
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5355 - Amal Alamri,SAR,9666.539497
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5358 - Suhaib Alghamdi,SAR,1817.82316
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5373 - Thomas Boehringer,SAR,64326.05476
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5386 - Dibu Maimbilly Krishnan,SAR,193.1777379
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5391 - Mushaal  AlJulaifi,SAR,-92.90843806
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5434 - Hashem  Qaw,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5454 - Nikhil  Shetty,SAR,-387.0736086
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5456 - Fahad Karali,SAR,80.78994614
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5457 - Hitesh Kishanbhai Patel,SAR,-2465.1614
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5499 - Sambit Pattnaik,SAR,-23759.42549
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5555 - Deduction Control AC,SAR,32804.22831
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5563 - Emad AlMutairi,SAR,-84.02154399
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5575 - Shahzeb  Afridi,SAR,49.55116697
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5590 - Amaljeev Thara Rajeev,SAR,-395.6912029
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5608 - Arif Mallik,SAR,4224.416517
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5609 - Rehan Baig,SAR,324.7082585
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5619 - Ritchie Luperia,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5667 - Bandar Birano,SAR,-401.9748654
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5668 - Sreenivasulu Narayanakatta,SAR,-13987.16338
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5695 - Saud Alzahrani,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5706 - Mohamad Nathar Gowda,SAR,12836.62478
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5721 - Bushra Hamidaddin,SAR,-14713.16427
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5726 - Ahmed Bilal,SAR,2362.208259
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5728 - Manuel Emilio Martin Rodriquez,SAR,-170.1077199
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5729 - Asia Sharif,SAR,25.9497307
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5730 - Rami  Al Yusuf,SAR,6.104129264
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5755 - Bandar  AlSuhaibani,SAR,-191.8734291
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5757 - Rakan Alharbi,SAR,232.7049671
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5758 - Abdulrahman  Alnounou,SAR,-255.8312388
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5761 - Ahmed  Al Magroor,SAR,-191.8734291
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5762 - Muneera  Aljbreen,SAR,-185.4776481
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5766 - Zainab AlQudaihi,SAR,-16629.03052
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5769 - Kinda Albowilid,SAR,-234.5119689
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5772 - Mahmood  Basurrah,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5785 - Mutlaq Alenzy,SAR,154.1122083
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5822 - Ahmed AlMaghrabi,SAR,-1843.452424
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5849 - Hatem Alwabel,SAR,40026.92998
