Analytical Code Name,Region,Plant,Actual,PM,Variance,Variance%,PY,Variance,Variance%
None,1,23,-907075530.3,-907075530.3,0,0.00%,-483088781.9,-423986748,-87.80%
None,1,26,-1496110.11,-1496110.11,0,0.00%,,-1496110,
None,1,28,-413718966.1,-413718966.1,0,0.00%,-215041526.5,-198677440,-92.40%
None,1,29,-413254077.5,-413254077.5,0,0.00%,436628.43,-413690706,-94746.60%
None,1,32,-14961238.89,-14961238.89,0,0.00%,,-14961239,
None,1,34,1216587.07,1216587.07,0,0.00%,,1216587,
None,1,35,-1384694.67,-1384694.67,0,0.00%,-679772.23,-704922,-103.70%
None,2,1,1973278.87,1973278.87,0,0.00%,-10005121.01,11978400,119.70%
None,2,2,0,0,0,,-11683431.51,11683432,100.00%
None,2,28,0,0,0,,,0,
None,3,1,0,0,0,,-2418262.49,2418262,100.00%
None,4,1,213231,213231,0,0.00%,-3234691.27,3447922,106.60%
None,4,2,0,0,0,,-33747.57,33748,100.00%
None,4,28,0,0,0,,,0,
None,5,1,48678.64,48678.64,0,0.00%,-1516705.98,1565385,103.20%
None,5,2,0,0,0,,-185938.9,185939,100.00%
None,6,1,0,0,0,,-111671.61,111672,100.00%
None,6,2,0,0,0,,-2208588.2,2208588,100.00%
None,7,2,0,0,0,,-233263.36,233263,100.00%
None,8,2,0,0,0,,-801983.99,801984,100.00%
None,9,1,0,0,0,,-35032.43,35032,100.00%
None,9,2,0,0,0,,-29523.42,29523,100.00%
None,10,1,488228.61,488228.61,0,0.00%,-39008.09,527237,1351.60%
None,11,2,0,0,0,,-73263.56,73264,100.00%
None,11,28,0,0,0,,,0,
None,12,2,0,0,0,,-14166.36,14166,100.00%
None,12,28,0,0,0,,,0,
None,13,2,0,0,0,,-4341.49,4341,100.00%
None,13,28,0,0,0,,,0,
None,14,2,0,0,0,,-421.6,422,100.00%
None,14,28,0,0,0,,,0,
None,15,2,0,0,0,,-3135.7,3136,100.00%
None,15,28,0,0,0,,,0,
None,16,2,0,0,0,,-1773.93,1774,100.00%
None,16,28,0,0,0,,,0,
None,17,2,0,0,0,,-3692.56,3693,100.00%
None,17,28,0,0,0,,,0,
None,18,1,0,0,0,,,0,
None,18,2,0,0,0,,,0,
None,18,28,0,0,0,,,0,
None,19,1,0,0,0,,,0,
None,20,1,0,0,0,,,0,
None,21,1,0,0,0,,,0,
None,22,1,0,0,0,,,0,
None,23,1,0,0,0,,,0,
None,23,2,0,0,0,,,0,
None,23,28,0,0,0,,,0,
None,24,1,0,0,0,,,0,
None,24,2,0,0,0,,,0,
None,24,28,0,0,0,,,0,
None,25,2,0,0,0,,,0,
None,25,28,0,0,0,,,0,
None,26,2,0,0,0,,,0,
None,26,28,0,0,0,,,0,
Office Rent,1,1,0,0,0,,,0,
Payable for shares assigned,1,1,-40469.78,-40469.78,0,0.00%,,-40470,
Payable for shares assigned,1,12,-1196.89,-1196.89,0,0.00%,,-1197,
Payable for shares assigned,1,15,-1002393.78,-1002393.78,0,0.00%,,-1002394,
Secondment,1,1,0,0,0,,,0,
SNB,1,22,-447377330.6,-447377330.6,0,0.00%,-147183450.1,-300193881,-204.00%
STPC Refinancing,1,9,-87417044.76,-87417044.76,0,0.00%,-45102853.14,-42314192,-93.80%
Sukuk - 2028,1,1,-1675643327,-1675643327,0,0.00%,-837821663.7,-837821664,-100.00%
SUKUK 2,1,1,-1077199282,-1077199282,0,0.00%,-538599640.9,-538599641,-100.00%
