Analytical Code Name,Region,Plant,Actual,PM,Variance,Variance%,PY,Variance,Variance%
FV of interest rate swaps [IRS] (Asset - NC),1,22,0,0,0,,0,0,
FV of interest rate swaps [IRS] (Asset - NC),1,38,44247565.53,44247565.53,0,0.00%,30886948.23,13360617,43.30%
GRC Tool,1,28,0,0,0,,36138.84,-36139,-100.00%
Hassyan Derivative adjustment,1,28,36023571.86,36023571.86,0,0.00%,18011785.93,18011786,100.00%
Investment in shares assigned,1,1,40469.78,40469.78,0,0.00%,,40470,
Investment in shares assigned,1,12,1196.89,1196.89,0,0.00%,,1197,
Investment in shares assigned,1,15,1002393.78,1002393.78,0,0.00%,,1002394,
Laptops,1,1,0,0,0,,,0,
Laptops,2,1,0,0,0,,99940.16,-99940,-100.00%
LNTP,1,1,452446140,452446140,0,0.00%,,452446140,
LNTP,1,28,6071499.99,6071499.99,0,0.00%,,6071500,
LNTP,1,38,24839441.94,24839441.94,0,0.00%,11265709.16,13573733,120.50%
LNTP,1,39,2379663.67,2379663.67,0,0.00%,542040.69,1837623,339.00%
MISA/Shareek Grant - NGHC - 1st Tranch,1,1,-70736086.18,-70736086.18,0,0.00%,,-70736086,
Mobile & Tablets,1,28,0,0,0,,393.12,-393,-100.00%
Mobile & Tablets,2,1,0,0,0,,,0,
Mobile & Tablets,2,28,0,0,0,,3507.56,-3508,-100.00%
None,1,1,4368277215,4368277215,0,0.00%,2032106664,2336170551,115.00%
None,1,2,4868542.11,4868542.11,0,0.00%,460828.96,4407713,956.50%
None,1,4,636809.56,636809.56,0,0.00%,139125.34,497684,357.70%
None,1,5,634264.69,634264.69,0,0.00%,317431.57,316833,99.80%
None,1,6,44516.46,44516.46,0,0.00%,22258.23,22258,100.00%
None,1,7,52874987.35,52874987.35,0,0.00%,27793208.3,25081779,90.20%
None,1,8,302175162.3,302175162.3,0,0.00%,157098683.3,145076479,92.30%
None,1,9,90207883.9,90207883.9,0,0.00%,46461973.66,43745910,94.20%
None,1,10,2531551913,2531551913,0,0.00%,1105739621,1425812292,128.90%
None,1,11,799037902.5,799037902.5,0,0.00%,403234390.9,395803512,98.20%
None,1,12,681275714.6,681275714.6,0,0.00%,147031680.8,534244034,363.40%
None,1,13,1280519838,1280519838,0,0.00%,677205341.1,603314497,89.10%
None,1,15,41430368.08,41430368.08,0,0.00%,30715885.82,10714482,34.90%
None,1,16,978456.01,978456.01,0,0.00%,489228.01,489228,100.00%
None,1,21,383926255.2,383926255.2,0,0.00%,195707891,188218364,96.20%
None,1,22,714589901.3,714589901.3,0,0.00%,37447553.86,677142347,1808.20%
None,1,23,907075530.6,907075530.6,0,0.00%,483088783.1,423986748,87.80%
None,1,24,14742926.05,14742926.05,0,0.00%,7371463.03,7371463,100.00%
None,1,25,101116595.8,101116595.8,0,0.00%,45321912.47,55794683,123.10%
None,1,26,-102462027.9,-102462027.9,0,0.00%,-51231013.94,-51231014,-100.00%
None,1,27,-42057298.62,-42057298.62,0,0.00%,-21028649.31,-21028649,-100.00%
None,1,28,613089880.5,613089880.5,0,0.00%,257652326.2,355437554,138.00%
None,1,29,180083470.6,180083470.6,0,0.00%,106942317.2,73141153,68.40%
None,1,31,-5014.96,-5014.96,0,0.00%,-2507.48,-2507,-100.00%
None,1,33,18641022.81,18641022.81,0,0.00%,,18641023,
None,1,35,28477807.59,28477807.59,0,0.00%,14238903.8,14238904,100.00%
None,1,37,23659944.11,23659944.11,0,0.00%,11829972.05,11829972,100.00%
None,1,38,12405682.58,12405682.58,0,0.00%,20249351.12,-7843669,-38.70%
None,1,39,241407.7,241407.7,0,0.00%,3856523.04,-3615115,-93.70%
None,2,1,907322.86,907322.86,0,0.00%,0,907323,
None,2,2,0,0,0,,,0,
None,2,28,0,0,0,,,0,
None,18,1,0,0,0,,,0,
Office Building,1,1,16187.91,16187.91,0,0.00%,8093.96,8094,100.00%
Office Interior and fittings,1,1,0,0,0,,1738887.91,-1738888,-100.00%
Office Interior and fittings,1,28,488489.23,488489.23,0,0.00%,16952.06,471537,2781.60%
Office Interior and fittings,2,1,0,0,0,,,0,
Oracle Fusion,1,28,433816.77,433816.77,0,0.00%,184626.62,249190,135.00%
Prepaid (NC) - License Fee,1,1,0,0,0,,,0,
Prepaid (NC) - Rental,1,1,29114.3,29114.3,0,0.00%,,29114,
Professional Service,1,1,18260079.12,18260079.12,0,0.00%,9130039.93,9130039,100.00%
Professional Service,2,1,29922.2,29922.2,0,0.00%,,29922,
Share holder loans (assumed equity),1,28,384827.02,384827.02,0,0.00%,192413.51,192414,100.00%
Share of profit & reserves [Nominal],1,1,0,0,0,,0.1,0,-100.00%
Share of profit & reserves [Nominal],1,17,-0.17,-0.17,0,0.00%,-0.09,0,-100.00%
Staff and staff related costs,1,1,2384007.88,2384007.88,0,0.00%,1185513.85,1198494,101.10%
Staff and staff related costs,2,1,3177588.87,3177588.87,0,0.00%,263277.61,2914311,1106.90%
Technical Building,1,1,362110.29,362110.29,0,0.00%,135642.7,226468,167.00%
Technical Building,2,1,27258017.25,27258017.25,0,0.00%,15528.6,27242489,175434.30%
