Analytical Code Name,Region,Plant,Actual,PM,Variance,Variance%,PY,Variance,Variance%
Accrual (C) - Bonus,11,2,-4503788.3,-4503788.3,0,0.00%,-3023500.01,-1480288,-49.00%
Accrual (C) - Bonus,11,28,-232964.02,-232964.02,0,0.00%,,-232964,
Accrual (C) - Bonus,12,2,-1610153.76,-1610153.76,0,0.00%,-1323202.56,-286951,-21.70%
Accrual (C) - Bonus,12,28,-216918.49,-216918.49,0,0.00%,,-216918,
Accrual (C) - Bonus,13,2,-1273344.57,-1273344.57,0,0.00%,-711143.99,-562201,-79.10%
Accrual (C) - Bonus,13,28,-23408.54,-23408.54,0,0.00%,,-23409,
Accrual (C) - Bonus,14,2,0,0,0,,-5543.95,5544,100.00%
Accrual (C) - Bonus,14,28,-36230.01,-36230.01,0,0.00%,,-36230,
Accrual (C) - Bonus,15,2,0,0,0,,-16918.98,16919,100.00%
Accrual (C) - Bonus,15,28,16100.89,16100.89,0,0.00%,,16101,
Accrual (C) - Bonus,16,2,720215.77,720215.77,0,0.00%,-6167.08,726383,11778.40%
Accrual (C) - Bonus,16,28,-171.77,-171.77,0,0.00%,,-172,
Accrual (C) - Bonus,17,2,104527.16,104527.16,0,0.00%,-17360.92,121888,702.10%
Accrual (C) - Bonus,17,28,-34243.09,-34243.09,0,0.00%,,-34243,
Accrual (C) - Bonus,18,1,37490.13,37490.13,0,0.00%,,37490,
Accrual (C)  CSR HIWPT,1,1,-1530181.39,-1530181.39,0,0.00%,-1064312.72,-465869,-43.80%
Accrual (C) - HR related consultancy,1,1,-14195.83,-14195.83,0,0.00%,-10403.12,-3793,-36.50%
Accrual (C) - HR related consultancy,1,28,-33456.46,-33456.46,0,0.00%,-130081.98,96626,74.30%
Accrual (C) - IT related Consultancy,1,1,-282018.64,-282018.64,0,0.00%,-217241.71,-64777,-29.80%
Accrual (C) - IT related Consultancy,1,28,-48531.93,-48531.93,0,0.00%,-58559.38,10027,17.10%
Accrual (C) - Leave Payment,1,1,-18602717.77,-18602717.77,0,0.00%,2565140.89,-21167859,-825.20%
Accrual (C) - Leave Payment,1,2,-6317977.01,-6317977.01,0,0.00%,4258715.99,-10576693,-248.40%
Accrual (C) - Leave Payment,1,28,-3873427.59,-3873427.59,0,0.00%,,-3873428,
Accrual (C) - Leave Payment,2,1,0,0,0,,-8267802.37,8267802,100.00%
Accrual (C) - Leave Payment,2,2,0,0,0,,-10379692.64,10379693,100.00%
Accrual (C) - Leave Payment,2,28,0,0,0,,,0,
Accrual (C) - Leave Payment,3,1,0,0,0,,0,0,
Accrual (C) - Leave Payment,4,1,0,0,0,,-2395346.81,2395347,100.00%
Accrual (C) - Leave Payment,4,2,0,0,0,,39151.96,-39152,-100.00%
Accrual (C) - Leave Payment,4,28,0,0,0,,,0,
Accrual (C) - Leave Payment,5,1,0,0,0,,-1069233.76,1069234,100.00%
Accrual (C) - Leave Payment,5,2,0,0,0,,-217593.75,217594,100.00%
Accrual (C) - Leave Payment,6,1,0,0,0,,0,0,
Accrual (C) - Leave Payment,6,2,0,0,0,,-2880146.25,2880146,100.00%
Accrual (C) - Leave Payment,7,2,0,0,0,,-238267.65,238268,100.00%
Accrual (C) - Leave Payment,8,2,0,0,0,,-809548.47,809548,100.00%
Accrual (C) - Leave Payment,9,1,0,0,0,,0,0,
Accrual (C) - Leave Payment,9,2,0,0,0,,-11099.42,11099,100.00%
Accrual (C) - Leave Payment,10,1,0,0,0,,-1630855.44,1630855,100.00%
Accrual (C) - Leave Payment,11,1,0,0,0,,-45665.44,45665,100.00%
Accrual (C) - Leave Payment,11,2,0,0,0,,-118242.96,118243,100.00%
Accrual (C) - Leave Payment,11,28,0,0,0,,,0,
Accrual (C) - Leave Payment,12,2,0,0,0,,-21269.79,21270,100.00%
Accrual (C) - Leave Payment,12,28,0,0,0,,,0,
Accrual (C) - Leave Payment,13,2,0,0,0,,3798.95,-3799,-100.00%
Accrual (C) - Leave Payment,13,28,0,0,0,,,0,
Accrual (C) - Leave Payment,14,2,0,0,0,,-1117.74,1118,100.00%
Accrual (C) - Leave Payment,14,28,0,0,0,,,0,
Accrual (C) - Leave Payment,15,2,0,0,0,,329.04,-329,-100.00%
Accrual (C) - Leave Payment,15,28,0,0,0,,,0,
Accrual (C) - Leave Payment,16,2,0,0,0,,-4473.26,4473,100.00%
Accrual (C) - Leave Payment,16,28,0,0,0,,,0,
Accrual (C) - Leave Payment,17,2,0,0,0,,2493.95,-2494,-100.00%
Accrual (C) - Leave Payment,17,28,0,0,0,,,0,
Accrual (C) - Leave Payment,18,1,0,0,0,,,0,
Accrual (C) - Leave Payment,18,2,0,0,0,,,0,
Accrual (C) - Leave Payment,18,28,0,0,0,,,0,
Accrual (C) - Leave Payment,19,1,0,0,0,,,0,
Accrual (C) - Leave Payment,20,1,0,0,0,,,0,
Accrual (C) - Leave Payment,21,1,0,0,0,,,0,
Accrual (C) - Leave Payment,22,1,0,0,0,,,0,
Accrual (C) - Leave Payment,23,1,0,0,0,,,0,
Accrual (C) - Leave Payment,23,2,0,0,0,,,0,
Accrual (C) - Leave Payment,23,28,0,0,0,,,0,
Accrual (C) - Leave Payment,24,1,0,0,0,,,0,
Accrual (C) - Leave Payment,24,2,0,0,0,,,0,
Accrual (C) - Leave Payment,24,28,0,0,0,,,0,
Accrual (C) - Leave Payment,25,2,0,0,0,,,0,
Accrual (C) - Leave Payment,25,28,0,0,0,,,0,
Accrual (C) - Leave Payment,26,2,0,0,0,,,0,
Accrual (C) - Leave Payment,26,28,0,0,0,,,0,
Accrual (C) - LG Commission,1,1,-4694605.73,-4694605.73,0,0.00%,,-4694606,
Accrual (C) - LG Commission,1,15,-577596.86,-577596.86,0,0.00%,-335614,-241983,-72.10%
Accrual (C) - LG Commission,2,1,29023343.59,29023343.59,0,0.00%,-3540768.91,32564113,919.70%
Accrual (C) - Other consultancy services,1,1,0,0,0,,0,0,
Accrual (C) - Other consultancy services,1,8,-40454.82,-40454.82,0,0.00%,-3111.91,-37343,-1200.00%
Accrual (C) - Other consultancy services,1,28,-38629.75,-38629.75,0,0.00%,-58140.32,19511,33.60%
Accrual (C) - Other consultancy services,1,34,-1524.67,-1524.67,0,0.00%,-4565.82,3041,66.60%
Accrual (C) - Other consultancy services,2,34,0,0,0,,,0,
Accrual (C) - Others,1,1,609825.34,609825.34,0,0.00%,-2117702.28,2727528,128.80%
Accrual (C) - Others,1,2,-24719.33,-24719.33,0,0.00%,,-24719,
Accrual (C) - Others,1,25,-6543.17,-6543.17,0,0.00%,-1245.75,-5297,-425.20%
Accrual (C) - Others,1,26,-2949.53,-2949.53,0,0.00%,-421.99,-2528,-599.00%
Accrual (C) - Others,1,27,-1688.86,-1688.86,0,0.00%,-2688.41,1000,37.20%
Accrual (C) - Others,1,28,-624412.38,-624412.38,0,0.00%,-1315532.79,691120,52.50%
Accrual (C) - Others,1,36,-17717.31,-17717.31,0,0.00%,-6442.66,-11275,-175.00%
Accrual (C) - Others,1,37,-1196.91,-1196.91,0,0.00%,-49.87,-1147,-2300.00%
Accrual (C) - Others,2,2,0,0,0,,-15654.7,15655,100.00%
Accrual (C) - Others,2,28,0,0,0,,,0,
Accrual (C) - PR related consultancy,1,28,0,0,0,,,0,
Accrual (C) - PR related consultancy,2,28,0,0,0,,-6732.5,6732,100.00%
Accrual (C) - Remuneration - Board Audit Committee,1,1,0,0,0,,-26007.5,26008,100.00%
Accrual (C) - Remuneration - Board of Directors,1,1,0,0,0,,-102283.81,102284,100.00%
Accrual (C) - Remuneration - Nomination and Remuneration Committee,1,1,0,0,0,,-23189.71,23190,100.00%
Accrual (C) - Remuneration - Risk Management & Oversight Committee,1,1,0,0,0,,-20197.49,20197,100.00%
Accrual (C) - Rent,1,2,-307070.09,-307070.09,0,0.00%,,-307070,
Accrual (C) - Social Insurance,1,1,23060411.84,23060411.84,0,0.00%,5668879.19,17391533,306.80%
Accrual (C) - Social Insurance,1,2,2909392.85,2909392.85,0,0.00%,924217.82,1985175,214.80%
Accrual (C) - Social Insurance,1,28,258878.78,258878.78,0,0.00%,,258879,
Accrual (C) - Social Insurance,2,1,-14412487.22,-14412487.22,0,0.00%,-3973821.28,-10438666,-262.70%
Accrual (C) - Social Insurance,2,2,-1048191.92,-1048191.92,0,0.00%,-410574.46,-637617,-155.30%
Accrual (C) - Social Insurance,2,28,-91494.52,-91494.52,0,0.00%,,-91495,
Accrual (C) - Social Insurance,3,1,0,0,0,,0,0,
Accrual (C) - Social Insurance,4,1,-3367162.6,-3367162.6,0,0.00%,-1267529.46,-2099633,-165.60%
Accrual (C) - Social Insurance,4,2,-5086.02,-5086.02,0,0.00%,-2543.01,-2543,-100.00%
Accrual (C) - Social Insurance,5,1,-1642702.66,-1642702.66,0,0.00%,-581088.02,-1061615,-182.70%
Accrual (C) - Social Insurance,5,2,-34337.43,-34337.43,0,0.00%,-3270.11,-31067,-950.00%
Accrual (C) - Social Insurance,6,1,0,0,0,,0,0,
Accrual (C) - Social Insurance,6,2,-568821.86,-568821.86,0,0.00%,-284410.93,-284411,-100.00%
Accrual (C) - Social Insurance,7,2,-56236.55,-56236.55,0,0.00%,-28118.28,-28118,-100.00%
Accrual (C) - Social Insurance,8,2,-3353.02,-3353.02,0,0.00%,-1676.51,-1677,-100.00%
Accrual (C) - Social Insurance,9,1,0,0,0,,0,0,
Accrual (C) - Social Insurance,9,2,-4711.19,-4711.19,0,0.00%,-2355.6,-2356,-100.00%
Accrual (C) - Social Insurance,10,1,-1597151.97,-1597151.97,0,0.00%,-655824.93,-941327,-143.50%
Accrual (C) - Social Insurance,11,1,-93668.67,-93668.67,0,0.00%,-46834.34,-46834,-100.00%
Accrual (C) - Social Insurance,11,2,-123988.52,-123988.52,0,0.00%,-10845.4,-113143,-1043.20%
Accrual (C) - Social Insurance,11,28,-17858.83,-17858.83,0,0.00%,,-17859,
Accrual (C) - Social Insurance,12,2,-1877.58,-1877.58,0,0.00%,-938.79,-939,-100.00%
Accrual (C) - Social Insurance,12,28,-2315.94,-2315.94,0,0.00%,,-2316,
Accrual (C) - Social Insurance,18,1,-1623995.75,-1623995.75,0,0.00%,,-1623996,
Accrual (C) - Social Insurance,18,2,-52307.9,-52307.9,0,0.00%,,-52308,
Accrual (C) - Social Insurance,19,1,-303573.24,-303573.24,0,0.00%,,-303573,
Accrual (C) - Social Insurance,20,1,-249700.32,-249700.32,0,0.00%,,-249700,
Accrual (C) - Social Insurance,21,1,-579428.29,-579428.29,0,0.00%,,-579428,
Accrual (C) - Social Insurance,22,1,-118514.37,-118514.37,0,0.00%,,-118514,
Accrual (C) - Social Insurance,23,1,-34739.68,-34739.68,0,0.00%,,-34740,
Accrual (C) - Social Insurance,24,2,-13161.76,-13161.76,0,0.00%,,-13162,
Accrual (C) - Social Insurance,25,2,-215651.13,-215651.13,0,0.00%,,-215651,
Accrual (C) - Social Insurance,25,28,-32587.49,-32587.49,0,0.00%,,-32587,
Accrual (C) - Social Insurance,26,28,-7919.31,-7919.31,0,0.00%,,-7919,
Accrual (C) - Tax consultancy,1,1,-825660.48,-825660.48,0,0.00%,-728562.7,-97098,-13.30%
Accrual (C) - Tax consultancy,1,5,-16367.41,-16367.41,0,0.00%,-6483.14,-9884,-152.50%
Accrual (C) - Tax consultancy,1,6,-11968.82,-11968.82,0,0.00%,-6483.14,-5486,-84.60%
Accrual (C) - Tax consultancy,1,10,-11968.85,-11968.85,0,0.00%,-6483.14,-5486,-84.60%
Accrual (C) - Tax consultancy,1,11,-11968.9,-11968.9,0,0.00%,-6483.14,-5486,-84.60%
Accrual (C) - Tax consultancy,1,12,-13761.78,-13761.78,0,0.00%,-6483.14,-7279,-112.30%
Accrual (C) - Tax consultancy,1,13,-11968.85,-11968.85,0,0.00%,-6483.14,-5486,-84.60%
Accrual (C) - Tax consultancy,1,14,-5984.47,-5984.47,0,0.00%,-3241.57,-2743,-84.60%
Accrual (C) - Tax consultancy,1,15,-59545.18,-59545.18,0,0.00%,-32577.8,-26967,-82.80%
Accrual (C) - Tax consultancy,1,16,-11968.88,-11968.88,0,0.00%,-6483.14,-5486,-84.60%
Accrual (C) - Tax consultancy,1,17,-11968.88,-11968.88,0,0.00%,-6483.14,-5486,-84.60%
Accrual (C) - Tax consultancy,1,18,-13315.31,-13315.31,0,0.00%,-7455.62,-5860,-78.60%
Accrual (C) - Tax consultancy,1,19,-16157.99,-16157.99,0,0.00%,-8752.24,-7406,-84.60%
Accrual (C) - Tax consultancy,1,20,-16157.99,-16157.99,0,0.00%,-8752.24,-7406,-84.60%
Accrual (C) - Tax consultancy,1,21,-5984.45,-5984.45,0,0.00%,-3241.57,-2743,-84.60%
Accrual (C) - Tax consultancy,1,22,-7779.78,-7779.78,0,0.00%,-4538.2,-3242,-71.40%
Accrual (C) - Tax consultancy,1,23,-5984.44,-5984.44,0,0.00%,-4862.36,-1122,-23.10%
Accrual (C) - Tax consultancy,1,25,-572.85,-572.85,0,0.00%,,-573,
Accrual (C) - Tax consultancy,1,28,-59853.29,-59853.29,0,0.00%,-74270.65,14417,19.40%
Accrual (C) - Tax consultancy,1,35,-1256.73,-1256.73,0,0.00%,-471.27,-785,-166.70%
Accrual (C) - Tax consultancy,2,28,0,0,0,,12782.24,-12782,-100.00%
Accrual (C) - Tax consultancy,2,35,0,0,0,,,0,
"Accrual for Gifts, Donations",1,28,-94800.27,-94800.27,0,0.00%,-47400.13,-47400,-100.00%
Accrual for IPO cost,1,1,-572674.17,-572674.17,0,0.00%,-271695.72,-300978,-110.80%
Accrual for PDC,1,1,-973271.84,-973271.84,0,0.00%,-2701729.15,1728457,64.00%
Accrual for PDC,1,28,-423596.03,-423596.03,0,0.00%,-467484.03,43888,9.40%
Accrual of Digitalization costs,1,28,-158271.13,-158271.13,0,0.00%,-2131573.81,1973303,92.60%
Accrual of Other deferred costs,1,1,-2218735.95,-2218735.95,0,0.00%,,-2218736,
Accrual -Unwinding of Discount on Mezziane,1,25,0,0,0,,-4263361.87,4263362,100.00%
"Accruals ,,",1,28,-0.42,-0.42,0,0.00%,,0,
"Accruals ,,",2,28,0,0,0,,-20641.39,20641,100.00%
Accrued expenses - Other Staff related,1,28,-13150.26,-13150.26,0,0.00%,,-13150,
Accrued expenses - Other Staff related,2,28,0,0,0,,-6575.13,6575,100.00%
Accrued expenses - Others,1,1,-5407346.91,-5407346.91,0,0.00%,-1803096.22,-3604251,-199.90%
Accrued expenses - Others,1,28,-632351.65,-632351.65,0,0.00%,-272122.66,-360229,-132.40%
Accrued Software license fee,1,1,-243220.13,-243220.13,0,0.00%,,-243220,
Accrued Software license fee,1,18,-7013.02,-7013.02,0,0.00%,-1168.84,-5844,-500.00%
Accrued Software license fee,1,19,-7013.02,-7013.02,0,0.00%,-1168.84,-5844,-500.00%
Accrued Software license fee,1,20,0,0,0,,-1168.84,1169,100.00%
Accrued Software license fee,1,28,0,0,0,,,0,
Accrued Software license fee,1,32,-1870.16,-1870.16,0,0.00%,-1246.76,-623,-50.00%
Accrued Software license fee,1,33,-7480.57,-7480.57,0,0.00%,-4051.97,-3429,-84.60%
Chint Solar (Hong Kong),1,33,-6262630.01,-6262630.01,0,0.00%,-3131315,-3131315,-100.00%
CSR ( Corporate Social Responsibilites),1,1,-10084479.63,-10084479.63,0,0.00%,,-10084480,
CSR Provision - Non sharia compliant interest,1,1,-277163.5,-277163.5,0,0.00%,-138581.75,-138582,-100.00%
FV of interest rate swaps [IRS] (Liability - C),1,1,-196249213.2,-196249213.2,0,0.00%,,-196249213,
Interest accrual – STPC Bond,1,9,-278134.26,-278134.26,0,0.00%,-286508.79,8375,2.90%
Interest accrual - SUKUK,1,1,-5232594.7,-5232594.7,0,0.00%,-8060771.59,2828177,35.10%
Interest accrual - SUKUK 2,1,1,-11855733.99,-11855733.99,0,0.00%,0,-11855734,
Interest payable – EBL,1,22,0,0,0,,-392854.25,392854,100.00%
Interest payable - ENBD,1,22,-10320.17,-10320.17,0,0.00%,,-10320,
Interest payable - NATIXIS,1,22,10550.66,10550.66,0,0.00%,,10551,
Interest payable - SNB,1,22,-0.01,-0.01,0,0.00%,,0,
Legal fees,1,7,-16190.98,-16190.98,0,0.00%,-6175.46,-10016,-162.20%
Legal fees,1,8,0,0,0,,,0,
Legal fees,1,9,-11662.39,-11662.39,0,0.00%,-3911.2,-7751,-198.20%
Legal fees,1,22,-11968.85,-11968.85,0,0.00%,-3241.57,-8727,-269.20%
Legal fees,1,24,-15322.72,-15322.72,0,0.00%,-5535.61,-9787,-176.80%
Legal fees,1,29,-2062.29,-2062.29,0,0.00%,-4612.95,2551,55.30%
Legal fees,1,31,-20504.56,-20504.56,0,0.00%,-8222.55,-12282,-149.40%
Legal fees,1,32,-9137.8,-9137.8,0,0.00%,-7041.3,-2097,-29.80%
Legal fees,1,33,-3436.49,-3436.49,0,0.00%,-6827.31,3391,49.70%
Legal fees,1,35,-1621,-1621,0,0.00%,-6049.33,4428,73.20%
Legal fees,1,36,-15459.71,-15459.71,0,0.00%,-6438.2,-9022,-140.10%
Legal fees,1,37,-1900.02,-1900.02,0,0.00%,-7478,5578,74.60%
Legal fees,1,38,-1624.36,-1624.36,0,0.00%,-6538.58,4914,75.20%
Legal fees,1,39,-2301.6,-2301.6,0,0.00%,-3835.02,1533,40.00%
Legal fees,2,24,0.01,0.01,0,0.00%,,0,
Legal fees,2,28,0,0,0,,,0,
Legal fees,2,32,0,0,0,,,0,
Legal fees,2,35,0,0,0,,,0,
Legal fees,2,37,0,0,0,,,0,
Legal related Consultancy,1,1,-43258.53,-43258.53,0,0.00%,-75190.26,31932,42.50%
Legal related Consultancy,1,28,-19011.69,-19011.69,0,0.00%,-83178,64166,77.10%
Legal related Consultancy,2,28,0,0,0,,-407.38,407,100.00%
Long Term Loan (C) - Corporate Revolver Facility API,1,1,0,0,0,,-0.12,0,100.00%
Long term loans (Capital outstanding) (C) - STPC Refinancing,1,9,-2788661.51,-2788661.51,0,0.00%,-1358031.71,-1430630,-105.30%
LTL  (C)- Commercial Facility,1,1,0,0,0,,-0.12,0,100.00%
None,1,1,-860598367.6,-860598367.6,0,0.00%,-210795089.1,-649803279,-308.30%
None,1,2,-8068774.79,-8068774.79,0,0.00%,-110235862.5,102167088,92.70%
None,1,3,-1956776.06,-1956776.06,0,0.00%,-978388.03,-978388,-100.00%
None,1,4,-95493227.6,-95493227.6,0,0.00%,-44494582.74,-50998645,-114.60%
None,1,5,-437124.54,-437124.54,0,0.00%,-109167.56,-327957,-300.40%
None,1,6,0,0,0,,0,0,
None,1,7,-1048950.51,-1048950.51,0,0.00%,-409291.95,-639659,-156.30%
None,1,8,-11209106.52,-11209106.52,0,0.00%,-14380533.29,3171427,22.10%
None,1,9,-8976.66,-8976.66,0,0.00%,-14265.5,5289,37.10%
None,1,10,-603488231.2,-603488231.2,0,0.00%,-246958.85,-603241272,-244267.90%
None,1,11,-1702022.41,-1702022.41,0,0.00%,-129473.67,-1572549,-1214.60%
None,1,12,-537325.55,-537325.55,0,0.00%,7754296.97,-8291623,-106.90%
None,1,13,-2350897.81,-2350897.81,0,0.00%,-700578.4,-1650319,-235.60%
None,1,14,-96891701.35,-96891701.35,0,0.00%,-760990.74,-96130711,-12632.30%
None,1,15,-15179068.91,-15179068.91,0,0.00%,-34890937.19,19711868,56.50%
None,1,16,-1400359.09,-1400359.09,0,0.00%,-700179.54,-700180,-100.00%
None,1,17,-17953.33,-17953.33,0,0.00%,-28379266.16,28361313,99.90%
None,1,18,-3863557.71,-3863557.71,0,0.00%,-2505.98,-3861052,-154073.80%
None,1,19,-1817657.53,-1817657.53,0,0.00%,-132726.49,-1684931,-1269.50%
None,1,20,-604777.2,-604777.2,0,0.00%,-37857.18,-566920,-1497.50%
